Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints
58,1,92972,3,0,6360.732917680156,0.0749714965648351,2,1.3355713537476013,11.121238645903416,84,12,0,1,1938
47,0,55470,2,3,2269.598587195453,0.2849092752363656,33,7.289516904037578,12.283692017086253,53,6,6,4,822
21,0,110185,0,0,4137.638882360867,0.0693856900691222,2,3.482626386527589,14.447174554379114,77,10,8,4,4278
37,0,35455,3,1,7526.442570502542,0.1958772350818884,16,9.42443377929596,1.0550911435989172,81,11,0,1,3177
61,0,130478,4,1,7994.584934372226,0.2596086110241604,26,3.3560370472554424,3.5956359955665307,8,17,1,2,2566
54,1,47649,1,2,3801.768669463811,0.284798664672016,15,5.97006540153675,0.7138666456019365,8,3,0,6,3071
28,0,66308,2,1,2364.180857786261,0.1158057731718768,35,6.672910252762631,11.73005976742149,72,12,7,2,1957
64,0,40064,0,0,3452.3348318182007,0.1289399293080149,10,3.7357465747181866,8.214853193311088,12,11,2,7,2380
33,0,76325,1,2,3321.879908633994,0.0899194239556841,9,2.9921129297690654,8.781839963794377,60,3,8,7,716
37,0,87156,0,0,6830.837097969884,0.1984292254516417,16,3.5532876354866234,3.251242917485408,36,8,5,9,248
40,0,138199,3,2,4440.423459775062,0.0714500020792519,2,8.022579786632758,9.600837930986003,2,15,9,0,905
25,1,84162,2,2,4593.556139230932,0.0583978793039251,19,1.5070910154000257,3.105384619279868,87,1,5,1,3843
57,1,26405,0,0,6113.592233803351,0.2461129674804966,26,7.68578326650922,12.320774943045016,76,7,9,7,325
67,0,140913,3,0,3899.680816684847,0.2676487808100528,29,7.243209377390995,10.00822744192696,42,4,4,4,4358
21,0,94861,1,3,6689.0653465000005,0.1769032065636671,28,6.337814041317148,5.876235128686739,55,12,8,1,3170
34,1,97022,3,2,9499.401759928498,0.115984950035759,14,5.417303969898391,1.7391829440287192,81,11,0,1,1704
53,1,52471,4,0,4313.285165399372,0.0523832985896231,41,8.970199931299842,0.7283460751450905,90,12,1,4,4906
56,0,119067,2,0,9095.65676795565,0.1052897698498519,46,8.883734007669698,4.06116892996401,53,4,6,2,2045
34,0,137798,4,2,2648.531533979489,0.150250354766718,14,5.991017288960651,9.67589040099361,26,0,1,1,588
24,0,40249,4,1,8205.226159267357,0.1917957229368402,36,3.5348561743007814,6.812569554532311,12,2,0,9,4059
64,0,77702,1,0,1685.183517636925,0.2495432916448901,37,9.5600473730827,1.4333171818045771,90,19,2,5,2604
34,1,126885,1,3,4985.387071933112,0.0515508890900954,27,8.990849832084171,1.8774901358736829,85,15,7,6,3682
47,1,60888,2,0,3812.240977872749,0.1585512762824254,40,9.667531661444034,1.80035787360382,60,11,2,0,2151
46,0,106717,4,3,5565.230223036938,0.1485474887345812,12,8.742306071914685,3.220718593923234,12,11,2,0,1193
33,0,35409,0,2,7793.002814096463,0.0440597406622261,6,7.1481383698180485,12.696855861889674,13,1,5,8,1654
42,0,81046,2,1,1500.3346628820043,0.2339166429656703,35,4.8286687393875525,9.190449848587548,38,3,1,4,2886
46,0,49778,4,3,3488.5988553965904,0.0856269087213597,40,9.912508938018306,5.319315995287802,30,18,5,9,3666
19,1,114243,3,2,4655.736595144255,0.0211044168215052,8,3.349754554387685,1.8307674421522224,61,1,4,5,3378
64,0,116621,4,0,3174.314075993326,0.2966135593613648,14,5.542444256677746,1.699274682366703,65,3,7,3,1495
52,0,69993,0,1,7751.291365710174,0.2657411000778804,28,1.6430888676793751,8.78123122759818,28,18,0,9,159
53,1,79090,2,3,7034.536936654723,0.0175110661809801,46,9.51754606060608,1.7341758406435424,34,7,9,1,1935
48,1,115440,0,3,6274.206178143686,0.2323911006322372,45,6.550124845511772,1.267110070791503,27,16,5,8,777
65,0,95516,3,2,6339.808192639662,0.2497736374832236,3,7.992531211986583,11.13616339618308,54,16,5,8,2415
53,0,44886,2,2,9441.660747551805,0.2361303667693909,10,5.989207713651698,2.002954363964703,25,6,9,0,960
68,1,122171,0,0,7889.940965030609,0.2645794518277238,11,1.393435489995193,7.301610280413643,0,19,7,5,1751
52,0,124381,1,2,439.84078405016254,0.0405758869799003,48,4.522581295393733,9.35582106719243,81,15,1,1,115
55,0,22590,0,0,8188.626969481326,0.0104941101319062,19,7.757227312485282,7.479157149882666,39,11,1,3,2566
36,0,22794,2,0,6787.837705416624,0.1401332353652339,7,8.061834139323953,3.585776262561365,72,11,3,8,4615
56,0,104546,4,2,9544.359569397371,0.2206375756558478,9,1.1419075418406324,7.281154694241499,44,0,8,1,4941
64,1,53573,2,3,2536.4814476480933,0.0855789381109531,6,5.287329317857365,12.32440100111056,52,14,9,2,1440
37,0,46221,3,3,1902.851908039811,0.0455785160296731,5,8.632203396144721,3.845328902313241,65,11,5,7,2807
66,1,119219,4,0,3092.824810166621,0.2670452293067133,46,4.919867020603938,8.343619408276098,70,2,8,3,2503
48,1,61911,3,1,8126.841514411999,0.2511690192132069,41,7.174326764026943,1.0216423216407595,36,16,8,7,1817
31,0,95902,1,0,547.4418583307472,0.1089632712416165,20,9.14615569536783,8.075317227266794,54,6,5,6,1099
30,0,70840,3,3,2540.7380589817226,0.2007212581461757,19,4.761579090026372,9.27174209673681,17,19,9,4,1630
67,1,24432,0,2,6696.776573544401,0.1211874965066731,24,7.822281704898967,1.3108863146741505,8,15,7,5,732
55,1,128227,2,1,2933.1335471417306,0.169631820495085,17,4.1328229356832855,6.161290992557115,58,1,7,8,84
37,0,32550,4,1,1672.6896062526043,0.0617649173690713,4,8.567154882785362,8.430077380062093,21,2,5,9,2672
36,0,127619,1,1,3261.8866169685107,0.2144245868460522,39,7.983637440827652,5.771304919053446,4,7,6,9,2078
48,0,131923,1,2,5960.125653803771,0.2550794579044974,10,8.125571797813308,6.793484372718748,83,3,9,0,2976
20,1,23576,4,3,1540.7416709761976,0.1476572843392728,29,3.747211522032707,7.040570459591677,46,7,0,4,2879
27,0,73076,1,3,773.685644549143,0.2997879187069316,43,4.750641868760051,9.935341844424524,64,13,7,5,2720
52,0,100262,1,2,7484.584348532707,0.174821962557546,14,8.617105515593327,14.620566819253703,0,12,8,0,4651
36,0,55885,0,3,8529.329755970019,0.0781706575435751,37,1.1942605974058336,11.599694425800868,94,13,7,8,2561
23,0,58176,2,2,5985.863521642229,0.1371813938737743,4,1.0318925379409885,11.24826769865503,27,6,3,8,516
35,0,117081,4,0,1790.1966242504595,0.1025547933701089,5,3.155499138583658,7.686788294587948,85,16,0,8,2851
38,1,146133,0,1,1352.5694978857082,0.0342294063853478,25,6.701389605095214,14.29641000125473,50,19,5,0,479
55,0,20744,0,2,4694.898759196795,0.1295216804619093,47,3.329159478408665,11.804943257007029,44,0,6,9,1617
49,0,69460,0,0,3265.432004612213,0.0711004905853645,33,4.209212208180706,2.7019133200158225,29,12,5,4,1457
33,0,44154,4,1,2766.233301547152,0.2301415357890881,8,9.630809934329855,3.295251306292585,66,7,0,3,4757
53,0,26674,0,2,7990.115874921482,0.073858953137559,15,1.9800240613761373,3.2823834570175614,85,6,2,6,4355
56,1,113517,1,0,2227.0002442506525,0.0915390916210936,47,1.0994970647311844,14.710476006582663,72,13,8,6,2886
53,0,67427,3,3,3544.225251423633,0.1130690924825941,48,3.715463012627625,14.863995555582168,30,18,3,2,4813
22,0,48491,4,0,6354.776645967255,0.223341945939364,29,8.240435884203128,6.21404771134101,82,17,3,0,717
39,0,76971,2,0,3244.449984313607,0.1985901238497199,36,1.1527538322040685,7.121209351731881,89,3,6,4,2854
19,0,48363,2,2,716.630891962668,0.1986794854725244,48,3.82728371830226,4.058493667725751,65,8,1,6,3344
68,0,88447,1,3,7295.641262827726,0.0544509499505307,20,8.003166064923285,3.561873360964904,90,16,5,8,2605
24,0,78568,3,3,8430.0648502192,0.1466179572442634,6,6.0904116969034,9.70621414437828,10,7,6,2,924
55,0,107340,2,1,3307.525754609495,0.1830715122587017,32,3.896102354537828,5.618811587229957,63,13,0,5,1732
43,0,102864,4,3,9612.656124610594,0.1585225375038183,4,7.491726583655289,4.858765441124604,15,11,8,9,1747
44,1,124150,3,3,533.9154698999639,0.0681979374413148,27,4.671012336104882,1.3043186747533762,83,17,7,7,1170
56,0,21120,3,3,1323.933560793643,0.022062860122265,11,3.883937901005902,2.198876206305094,38,4,7,9,4377
54,0,129578,0,3,7668.86709558901,0.1482794548661021,35,5.595965074618363,11.791030216846549,69,11,4,0,4379
28,0,134778,2,3,6042.041146419087,0.0328414364561573,11,7.456098263540999,14.460415382394828,57,9,7,7,3556
49,1,54094,0,0,454.65351694879166,0.0181193454179817,30,1.940795476758988,12.12390981108774,33,18,2,0,2301
26,0,28922,0,1,6187.142201686632,0.0185832092315178,18,2.080903918125148,5.90696423998617,29,4,4,2,2054
66,0,131682,3,0,8738.427766393352,0.116219424934415,28,7.959623002165196,4.170328842262667,88,3,2,1,2820
47,1,100431,0,3,185.5738328194432,0.1485876625287168,18,3.6167311536658464,11.735296484323394,34,6,6,9,1241
18,1,36080,0,1,8886.797479368917,0.2882390958719117,26,8.176724146628018,1.1449044815739469,49,5,8,9,3350
26,1,103227,4,1,304.81796013668463,0.2461890912658563,17,3.932259669011332,3.721293773551008,75,3,2,2,4497
46,0,87687,2,2,2835.6365968085624,0.0648980255825201,11,8.584051236782365,5.238927781090891,10,10,4,6,612
44,0,137246,1,0,4176.802423605373,0.0746221352699972,14,8.916888135826587,13.414546402814098,66,16,7,4,561
19,0,53124,1,2,3305.949452955901,0.1738916459113328,32,5.870902064623839,10.888675054653833,28,17,3,1,3164
51,0,80438,0,3,686.3116320077162,0.0852617636633689,0,5.472820910704369,1.6223028048515165,10,9,7,7,3351
50,0,99614,3,1,9905.27381301118,0.0249059051523424,39,4.563943706044817,13.603446094176778,38,13,9,5,3124
50,1,70420,3,2,8638.221601906504,0.0694171147428118,45,4.180903793792919,14.697544824428114,66,9,9,5,3476
43,0,102473,2,2,1874.0069662680835,0.0846239016432857,45,2.046746117137024,6.511106012516611,23,15,0,9,902
46,1,57124,1,2,7841.640150409425,0.150995496943856,20,1.883194301158592,8.155568704576869,53,17,7,6,643
45,0,80526,0,0,2496.9955302274693,0.1902659133002537,24,9.005241106411871,4.842290762433096,48,17,2,6,2451
69,0,25349,3,2,4410.890568766532,0.0175701967044668,47,7.08836033741979,13.334045343707574,19,1,4,4,3889
69,0,70094,4,0,3673.7171374352056,0.031265384493388,25,9.46197545200176,8.905866383975495,42,12,8,1,1312
47,0,128024,3,0,6343.928086109166,0.2623411630087428,45,1.2446447395575404,9.46819136703009,23,13,8,0,2396
68,0,22106,3,0,2987.0567047377026,0.2893292998373475,31,4.053939307424811,11.02587186874329,73,13,9,6,2876
34,0,91101,0,0,6101.85579347082,0.1566508742702266,24,4.032389182387459,13.688605792569131,98,16,2,6,11
35,0,56023,3,3,9653.974207459243,0.1933435007916613,3,9.084258099706728,12.06902426586773,14,9,8,0,2860
51,1,21268,2,0,2767.982231158539,0.1792099327457554,43,9.166984623021786,10.136485618521164,24,18,4,6,3207
67,1,79204,2,1,3998.2430207043976,0.1176697907173015,29,2.5386012292258737,0.7282109537321309,36,7,1,0,1306
36,1,105442,0,3,3499.372273552698,0.0444937381282143,26,4.631376165178356,1.678757046288628,12,14,2,5,1421
51,0,40710,1,3,5506.018716641531,0.2624861908503397,44,2.622681194308918,3.684465089653305,4,9,9,4,4652
45,1,71673,3,1,5627.167696975915,0.2790208584343945,22,8.577315278522331,9.526562930766708,96,4,0,1,4203
26,0,134719,3,2,4246.856616257295,0.0426327691907116,22,8.186738023937709,4.169640222300579,52,14,6,4,1636
23,0,53000,1,0,1871.2472507588363,0.1591763363616287,18,6.533299932660175,12.091105067330536,36,11,1,5,4583
45,0,62926,2,1,4059.315544337741,0.2587196726039785,30,7.658656761199375,7.922912809409105,93,5,4,5,3939
23,0,95486,1,0,8344.554810466034,0.1762213284964938,5,4.5303666526809625,3.265470200267264,61,15,6,9,326
59,1,28727,1,0,2820.5566851369394,0.1355062822393049,26,7.825721918396665,2.930784791803194,96,6,9,8,3630
44,1,124292,3,3,3423.0226177541194,0.1571068962811351,2,7.946454038141686,8.661301215953754,7,1,4,6,4001
63,0,51028,3,0,6557.498288500839,0.0194307640203269,14,7.755264238779116,13.411404492819257,75,6,0,1,4872
43,0,127754,2,3,7487.833934075936,0.1405752552154938,49,7.867055966412749,5.970185258156767,6,12,1,2,2466
31,0,97911,2,1,4446.927402696837,0.193335906559793,2,4.523714617022069,13.6912369391532,40,2,4,8,1440
28,0,126572,3,2,8338.263094702754,0.1076648129316962,3,2.04990386337052,12.986452313471942,73,10,3,4,1894
28,0,50480,2,2,9816.137996752956,0.1323935069589248,35,2.0820992001073546,10.684231838942626,33,13,8,3,693
57,0,86013,0,1,6454.421709753897,0.128175574557575,31,6.256524830379464,5.311695787896269,95,17,8,9,3493
67,1,124533,2,3,4877.504218837973,0.0789339523480673,39,9.997133812436507,2.896587762771197,28,16,3,0,3844
62,0,84274,3,0,6194.138863106272,0.0477819478078038,18,4.411872361187516,2.746651076163934,22,8,0,9,185
36,1,54307,0,0,763.6905159151305,0.0589375592246923,44,2.4758344359603224,6.000367875724216,31,18,3,2,1670
59,0,108061,3,3,6516.868530896308,0.245837039461687,35,3.481314076380121,6.863645813211197,63,2,3,4,4647
19,0,126023,0,1,2229.5581198683967,0.0111307225030686,33,9.838515073900853,13.834428608194486,55,9,5,1,1708
27,1,80482,0,3,8433.428041311588,0.0551390831487157,47,9.395735380516646,11.635425627663098,14,18,1,5,1023
59,0,132923,3,1,5507.503744820118,0.1952125823763068,37,2.1985571037198075,14.481231204984688,5,16,3,6,170
57,0,44099,4,3,2879.809109364025,0.1107665756457324,42,5.129906599588087,13.363849352079944,70,6,5,5,229
34,1,135227,0,0,4368.530018279531,0.1592072846427375,37,2.3185389804480323,12.631050240100029,97,1,6,9,1498
32,0,87799,1,3,6428.699364670444,0.1543633766817664,40,6.4487057655217,10.739008944178886,64,0,0,0,4888
42,0,115830,3,3,5252.586183412627,0.262543970136766,16,4.511330505838373,13.739379272932394,80,0,0,1,4784
30,0,127071,2,2,6937.050960476109,0.0650195495716663,39,7.834334825642228,6.171370224223718,24,19,6,2,3299
47,1,38201,1,0,5672.332486085255,0.2800186583527195,11,1.7647541383292331,9.858751952414153,0,15,9,9,4241
40,1,140696,0,1,6761.63317177148,0.1570658297711526,10,5.024844758205004,10.708548295110305,89,4,7,4,1224
48,1,47268,2,0,5652.054671287467,0.1084272006528469,37,1.450168307530043,0.5253424368064183,27,13,7,1,574
66,0,140295,4,1,8037.303900661962,0.1134561075714708,17,6.92751029330072,7.804839665846439,33,1,5,1,2309
64,0,130196,2,2,6957.879912673552,0.1859969618055974,27,8.306076141211715,2.287102465207435,48,2,2,5,2774
68,0,148424,2,3,9116.016457447313,0.2976472479617788,44,2.307666894131493,14.17379703133357,3,13,3,3,3887
58,1,36321,4,0,7700.415771731399,0.0757547016517415,30,1.2820388649220555,7.838519806983271,34,7,4,0,4258
44,0,69800,0,0,5839.101667069146,0.1116365321858826,7,7.083886545623855,10.67745054624443,53,3,9,8,3802
57,0,145850,0,0,3914.8145334007136,0.2566028870043448,13,9.799135730484544,12.757743427121648,94,15,2,7,3720
66,1,33979,1,2,8988.733154767135,0.1971167170257817,3,2.7653457493208857,6.068186907329005,18,11,5,0,4870
20,0,74288,1,1,3894.381317810583,0.140283291715018,11,9.373118119671894,7.327673420832819,48,2,3,2,2900
26,0,43390,1,3,3598.151841574784,0.2344451139899706,14,2.70283119064754,5.56313742123228,72,16,4,1,2099
19,0,25962,3,0,9396.670822024278,0.0300392545577642,8,4.635236953015367,12.716501293380608,72,5,3,7,1132
54,0,78951,1,1,8841.176289062729,0.1529323095258589,14,1.6900847385392384,7.875666527050555,50,8,7,3,2971
64,0,142660,4,1,1572.2841321110368,0.2251028682362885,14,1.832387014586824,5.12423333818171,3,0,4,1,2381
26,1,141402,1,2,2244.2972530763323,0.0246176078284495,21,1.7421848647256954,14.685402493619138,82,8,0,1,3680
29,0,27691,2,3,6276.602763537121,0.2752259751974513,35,3.900404173870673,2.3427424326824213,49,16,7,0,1719
19,0,73871,0,2,7213.766898549779,0.1366080548511551,36,2.512349282638169,3.493225352502555,39,4,0,0,2056
23,1,28301,0,0,3516.132275214697,0.0730335124432936,33,3.982799519904664,14.167586559795506,38,14,2,2,4268
43,0,24746,4,3,8786.270190479594,0.0986893130629414,12,9.743149502577774,5.367461373030296,66,8,9,5,4971
66,0,79231,1,3,3331.459851740816,0.2749805426032393,49,1.2442219576945548,10.700784455501552,40,10,0,8,4338
25,1,67731,1,0,8668.612988275452,0.0834623427096873,7,5.793466574946025,14.525764711904491,9,3,2,8,142
20,0,30935,2,0,2299.7704033607392,0.2124960878985071,40,7.656292519792791,7.726667611695138,61,0,6,8,4922
60,0,123018,2,1,6839.049994072466,0.0306157949908229,3,1.0459027482284209,9.882682096040476,82,8,1,5,4066
36,1,48625,3,2,5119.113994998432,0.1913019577558196,28,8.573808546949904,9.374704996771426,67,9,5,4,1804
45,0,117138,2,3,9139.572962714195,0.2803562515971907,20,2.4015481592140926,2.851491148396574,82,15,7,2,559
28,1,25888,3,2,9640.962111620098,0.2859925283069321,21,3.798914772082912,8.158471394053851,18,11,6,0,2091
38,0,103790,4,0,6021.153770719858,0.0844836567783188,24,2.127879976527693,14.507048300452512,39,11,2,7,3478
38,0,117409,1,0,6503.888951856156,0.1175500749047987,0,4.998311616499107,11.708785536410328,45,16,9,0,4012
45,0,60868,2,0,4861.837030267429,0.0975719199451353,22,5.203888026637311,1.1624480359072322,39,1,8,3,2317
48,0,59203,1,2,6813.839693645546,0.2713246645257548,9,3.975788309828265,0.6262398925608612,98,10,1,5,380
62,0,88235,4,2,3058.73536941377,0.0117422214981003,26,6.90451688984366,4.579338230925978,95,2,8,7,2166
37,1,83265,2,3,6861.208958048359,0.1757649556184589,3,3.51856977922667,7.116901300788621,55,10,2,9,1239
65,0,142405,3,1,6092.817197586208,0.2449838767727737,5,8.287178879349039,10.536287506087277,24,16,7,5,3033
42,0,147493,3,3,4898.55731090156,0.1742870486144549,18,9.40248005575171,3.784018889504768,58,2,5,2,2179
51,0,42778,4,0,1761.0190904337885,0.2760744479797959,24,3.502213926269481,8.177726843708715,47,15,3,9,1497
55,0,39861,4,0,7555.065923314049,0.2402346692937141,10,8.22956307462151,9.185007436730384,78,17,6,6,3139
18,0,98033,1,3,3249.902214639843,0.0652823813083323,32,7.58225244249988,0.9698679850513714,24,5,7,0,1747
38,1,136981,3,3,1844.7050976940768,0.0612073884538454,13,3.679429010942673,9.68281578896813,37,15,8,8,2136
24,1,87539,3,0,4200.867254497975,0.1753301143511503,9,1.0251108950069172,3.1643115248655844,85,7,3,3,61
65,1,120146,2,0,768.2128284623752,0.2384467609607417,20,7.155094851660559,6.687352127344632,30,0,6,4,4549
62,0,129559,4,1,4512.182288708436,0.1014185142499686,30,9.5683126881772,2.782340228072273,89,16,8,9,1263
57,1,95664,1,0,2369.4761961381982,0.2882913271542513,26,2.7497599767823355,9.24472405125417,82,4,5,1,2088
23,0,78204,0,1,8078.809989594616,0.0373572250847638,16,4.260834440064622,8.455407988117454,62,12,9,6,3094
63,0,129704,4,2,3995.0397960187065,0.1220296778934669,42,6.953303375240118,7.388646473590776,96,16,2,2,4931
24,1,107738,2,1,9835.19088555204,0.2259881359003729,39,1.369786402644507,13.19471031034736,74,7,3,2,4690
64,1,62681,3,2,7340.424876147616,0.2309662997331815,26,5.4522891658290575,10.981860899543742,52,4,9,6,3096
42,1,41740,0,2,4292.527355952521,0.2388917167951096,39,4.999514788777186,13.197557971226068,72,16,1,5,4570
59,0,23800,4,1,2545.803109604314,0.0474640588837822,12,5.318334162759246,7.876978467226783,41,14,6,6,941
49,0,128454,4,2,7190.38770768041,0.1016486462039137,2,6.076705702762362,6.091630590551501,11,18,9,1,3580
23,0,60149,3,1,3982.982127834016,0.0804867886241211,44,6.803956835013493,6.405144458941047,70,18,3,5,1829
63,0,77752,0,0,3918.5763972684895,0.0246824833307024,26,5.858164144910582,2.7936721498875787,87,10,7,5,4723
42,0,91980,3,3,5631.575471947162,0.1761028150392222,31,6.506642202992901,13.50440694073452,60,16,3,7,882
31,0,50941,2,1,3758.568964660928,0.2900272051629485,41,4.232121638971645,11.29161816504248,56,0,3,8,1752
40,1,48774,3,3,8759.34638622423,0.1287762488709407,42,1.5125173997431725,5.217449919257097,23,4,2,6,1139
29,0,138335,4,0,4630.231394958304,0.2253916642607727,21,4.256072602150752,0.6114451453801553,23,4,7,2,2258
67,0,132315,1,3,4947.8374586745895,0.116491532601113,32,5.976228252500374,8.389592936938978,2,10,0,0,3188
23,0,88446,3,0,7316.027613484297,0.2988299381080571,40,5.529498763769589,13.473538676592236,24,2,2,8,1727
56,0,47482,4,2,6798.101480128275,0.0179544395643276,19,4.7401573911820805,11.15911810343588,37,15,0,1,915
51,0,36944,2,0,4299.372012949283,0.1376222520812841,11,7.359334726832298,1.3126856927421218,74,0,5,3,2261
47,1,21460,4,2,9498.06294037866,0.2538733691083783,17,3.8146887511606273,2.5471138351589144,35,1,0,1,2405
64,1,77999,1,1,8638.382942969129,0.073021596394697,11,2.1724454907055084,4.321143565316358,76,11,0,8,3217
60,0,43552,4,3,8467.80265866745,0.1294976672818704,30,1.0591943447281285,5.238422796774628,73,7,1,6,3966
24,0,136202,3,0,2826.5231625914857,0.0865565263613812,47,9.24945069824191,8.044836356054844,75,12,9,3,1888
56,0,142688,4,2,7546.997025467324,0.2007143306313863,11,9.748713499989746,11.392624595736226,6,15,6,2,4820
59,0,44406,2,3,2013.365346341332,0.279516746100676,31,1.7252798135894871,13.976174885706971,39,10,0,9,2597
22,1,69574,3,2,6130.919577315147,0.2977233325818766,6,8.708221510757726,11.604303075657986,21,10,3,0,4327
37,1,133812,4,3,823.9893734800613,0.0842628344227492,25,1.4998772906462392,13.973851057748153,46,1,0,9,85
67,1,29868,3,2,2299.78408945324,0.2127319341180124,45,8.035460653902733,5.457047726813223,92,12,3,7,4764
36,1,37938,1,2,2424.032524193835,0.2405670346373244,22,3.130995002607763,13.1808972508868,57,2,8,1,1253
26,0,29825,1,3,6970.711666218899,0.1687177081864246,36,8.364846625797032,13.75961132638344,33,14,2,4,524
59,0,29909,4,2,4173.902819687155,0.1525534764573298,7,8.636527023900062,1.2541095668480582,32,5,7,2,4981
25,1,83027,4,3,5113.929699907765,0.256014342052281,36,9.933000437408491,12.094489084651975,23,14,8,6,4600
18,1,107114,4,3,8052.564043413591,0.2530756547493484,3,6.995175010116554,3.846517361808718,16,18,1,1,1191
65,1,32467,3,2,1749.88278733524,0.2997418945797649,7,2.1630473184136694,6.649019597082213,59,14,0,4,4705
43,0,146503,3,0,609.1811959709821,0.1436398269035896,37,1.2219721957922334,12.59800707788181,70,19,1,9,3594
60,0,121390,4,0,5455.268807660944,0.0884518518021346,1,1.7167684524226892,9.842120707808787,37,19,4,6,885
29,0,90511,0,3,1599.9362394550644,0.1964080621761322,37,2.093518144479956,8.967371287544617,79,9,9,8,3542
41,1,145428,0,3,2261.0303087303405,0.2301499465727513,22,2.5411368625198785,0.5016690842279518,82,10,8,6,4505
60,1,77557,1,2,7015.422873397185,0.14054833257485,42,1.3299956933455246,4.765025292858607,24,19,2,9,1096
49,0,139423,0,1,6510.907021046362,0.0682722288427296,31,8.699506668985116,5.791461869200897,46,19,8,0,4220
49,1,53746,4,1,7760.627903059003,0.292553887378652,42,2.3055365414785234,13.18620724077498,93,19,7,1,814
